rank,symbol,name,industry,total_score,signal,action,confidence,pattern_name,current_price,target_price,stop_loss,risk_reward,trend_score,pattern_score,momentum_score,volume_score,ma_trend,rsi,macd_status,volume_ratio
24,000547,航天发展,其他,73,买入,适量买入，关注突破,中高,上升趋势,227.63,249.03,213.36,1.5,20,15,17,21,中期多头,77.2,金叉,1.96
25,000725,京东方A,其他,73,买入,适量买入，关注突破，形态完成度较高,中高,双底形态,62.19,68.81,57.78,1.5,10,22,20,21,短期多头,47.1,金叉,1.25
26,000818,航锦科技,科技,72,买入,适量买入，关注突破，形态完成度较高,中高,双底形态,186.66,204.04,175.08,1.5,15,22,25,10,中期多头,55.2,金叉,0.96
27,000960,锡业股份,其他,71,买入,适量买入，关注突破，形态完成度较高,中高,双底形态,124.78,136.68,116.86,1.5,10,22,23,16,短期多头,49.1,金叉,1.01
28,000932,华菱钢铁,钢铁,70,买入,适量买入，关注突破，突破确认后加仓,中高,双底突破,106.75,116.55,100.22,1.5,10,25,25,10,短期多头,58.2,金叉,0.98
29,000519,中兵红箭,其他,70,买入,适量买入，关注突破，突破确认后加仓,中高,双底突破,100.69,111.37,93.57,1.5,10,25,21,14,短期多头,72.2,金叉,1.2
30,002179,中航光电,其他,69,偏买入,轻仓试探，等待确认,中等,双底形态,19.07,20.71,17.98,1.5,15,22,12,20,中期多头,48.2,死叉,1.23
31,000807,云铝股份,其他,69,偏买入,轻仓试探，等待确认，突破确认后加仓,中等,双底突破,46.03,49.96,43.41,1.5,15,25,12,17,中期多头,45.5,死叉,1.82
32,002065,东华软件,其他,69,偏买入,轻仓试探，等待确认,中等,温和上涨,169.21,186.74,157.52,1.5,25,12,25,7,多头排列,61.5,金叉,0.58
33,002050,三花智控,其他,69,偏买入,轻仓试探，等待确认,中等,温和上涨,38.37,41.31,36.42,1.5,25,12,21,11,多头排列,74.1,金叉,0.89
34,002180,纳思达,其他,68,偏买入,轻仓试探，等待确认,中等,温和上涨,325.7,356.63,305.08,1.5,25,12,21,10,多头排列,66.6,金叉,0.72
35,002195,岩山科技,科技,68,偏买入,轻仓试探，等待确认，突破确认后加仓,中等,双底突破,95.04,104.47,88.76,1.5,10,25,22,11,短期多头,50.9,金叉,0.26
36,002245,蔚蓝锂芯,其他,67,偏买入,轻仓试探，等待确认,中等,震荡整理,17.24,18.62,16.32,1.5,10,10,22,25,短期多头,55.2,金叉,2.04
37,002156,通富微电,其他,67,偏买入,轻仓试探，等待确认,中等,双底形态,73.26,80.02,68.76,1.5,10,22,22,13,短期多头,60.3,金叉,1.31
38,001965,招商公路,其他,67,偏买入,轻仓试探，等待确认，突破确认后加仓,中等,双底突破,94.81,104.06,88.64,1.5,10,25,21,11,短期多头,74.7,金叉,0.83
39,000408,藏格矿业,其他,66,偏买入,轻仓试探，等待确认,中等,双底形态,93.53,102.53,87.53,1.5,5,22,22,17,空头/震荡,50.4,金叉,1.53
40,000858,五 粮 液,其他,66,偏买入,轻仓试探，等待确认，突破确认后加仓,中等,双底突破,19.09,20.64,18.06,1.5,15,25,11,15,中期多头,20.4,死叉,1.34
41,002130,沃尔核材,其他,66,偏买入,轻仓试探，等待确认,中等,温和上涨,171.01,188.7,159.22,1.5,25,12,21,8,多头排列,66.3,金叉,0.49
42,000733,振华科技,科技,66,偏买入,轻仓试探，等待确认，突破确认后加仓,中等,双底突破,27.93,30.72,26.07,1.5,10,25,22,9,短期多头,54.4,金叉,0.25
43,000708,中信特钢,其他,66,偏买入,轻仓试探，等待确认，突破确认后加仓,中等,双底突破,83.52,90.7,78.74,1.5,20,25,15,6,中期多头,43.9,死叉,0.31
44,000999,华润三九,其他,65,偏买入,轻仓试探，等待确认,中等,双底形态,65.27,72.84,60.22,1.5,10,22,22,11,短期多头,51.5,金叉,0.59
45,002202,金风科技,科技,65,偏买入,轻仓试探，等待确认,中等,双底形态,93.79,104.02,86.97,1.5,5,22,22,16,空头/震荡,57.2,金叉,1.44
46,000338,潍柴动力,其他,64,偏买入,轻仓试探，等待确认，突破确认后加仓,中等,双底突破,127.04,140.11,118.33,1.5,10,25,18,11,短期多头,65.8,金叉,0.43
47,001979,招商蛇口,其他,64,偏买入,轻仓试探，等待确认,中等,温和上涨,229.54,249.96,215.92,1.5,25,12,17,10,多头排列,82.3,金叉,0.87
48,002049,紫光国微,其他,64,偏买入,轻仓试探，等待确认,中等,震荡整理,57.83,61.93,55.09,1.5,10,10,23,21,短期多头,45.9,金叉,1.27
49,000630,铜陵有色,有色,64,偏买入,轻仓试探，等待确认,中等,双底形态,59.55,65.84,55.35,1.5,15,22,12,15,中期多头,40.7,死叉,1.17
50,000623,吉林敖东,其他,63,偏买入,轻仓试探，等待确认，突破确认后加仓,中等,双底突破,9.76,10.7,9.14,1.5,10,25,21,7,短期多头,67.7,金叉,0.63
51,000034,神州数码,其他,63,偏买入,轻仓试探，等待确认,中等,震荡整理,113.42,123.28,106.85,1.5,20,10,17,16,中期多头,50.0,死叉,1.14
52,002044,美年健康,其他,63,偏买入,轻仓试探，等待确认，突破确认后加仓,中等,双底突破,136.24,149.01,127.73,1.5,10,25,21,7,短期多头,74.8,金叉,0.34
53,002027,分众传媒,传媒,63,偏买入,轻仓试探，等待确认,中等,震荡整理,163.72,179.93,152.92,1.5,25,10,15,13,多头排列,43.8,死叉,0.87
54,002129,TCL中环,其他,63,偏买入,轻仓试探，等待确认,中等,震荡整理,108.34,120.39,100.3,1.5,20,10,17,16,中期多头,55.0,死叉,1.21
55,000768,中航西飞,其他,62,偏买入,轻仓试探，等待确认,中等,双底形态,28.92,31.46,27.23,1.5,15,22,12,13,中期多头,46.5,死叉,0.92
56,002120,韵达股份,其他,62,偏买入,轻仓试探，等待确认,中等,双底形态,239.48,264.28,222.95,1.5,5,22,12,23,空头/震荡,41.4,死叉,1.74
57,000069,华侨城A,其他,61,偏买入,轻仓试探，等待确认,中等,双顶形态,195.67,216.34,181.9,1.5,25,8,21,7,多头排列,70.3,金叉,0.31
58,000426,兴业银锡,其他,60,偏买入,轻仓试探，等待确认,中等,双底形态,145.3,159.78,135.65,1.5,15,22,8,15,中期多头,29.7,死叉,1.13
59,000400,许继电气,其他,60,偏买入,轻仓试探，等待确认,中等,双底形态,149.74,165.79,139.04,1.5,5,22,20,13,空头/震荡,44.4,金叉,1.37
60,000301,东方盛虹,其他,60,偏买入,轻仓试探，等待确认,中等,双底形态,78.78,87.0,73.3,1.5,5,22,22,11,空头/震荡,50.4,金叉,0.23
61,000100,TCL科技,科技,59,偏买入,轻仓试探，等待确认,中等,双顶形态,66.14,72.97,61.58,1.5,10,8,20,21,短期多头,48.6,金叉,1.31
62,000998,隆平高科,其他,56,偏买入,轻仓试探，等待确认,中等,震荡整理,176.67,193.08,165.73,1.5,10,10,17,19,短期多头,80.0,金叉,1.44
63,002252,上海莱士,其他,56,偏买入,轻仓试探，等待确认,中等,双顶形态,6.31,6.48,6.2,1.5,10,8,22,16,短期多头,57.5,金叉,1.41
64,000568,泸州老窖,其他,55,偏买入,轻仓试探，等待确认,中等,温和上涨,238.43,261.59,222.99,1.5,20,12,17,6,中期多头,64.2,死叉,0.39
65,002230,科大讯飞,其他,55,偏买入,轻仓试探，等待确认,中等,双顶跌破,246.98,269.16,232.19,1.5,20,5,15,15,中期多头,40.2,死叉,1.25
66,002131,利欧股份,其他,55,偏买入,轻仓试探，等待确认,中等,双底形态,173.78,189.92,163.01,1.5,15,22,6,12,中期多头,39.5,死叉,0.73
67,000035,中国天楹,其他,55,偏买入,轻仓试探，等待确认,中等,震荡整理,102.3,112.2,95.7,1.5,10,10,25,10,短期多头,59.8,金叉,0.84
68,002145,钛能化学,其他,54,中性,观望为主，等待方向,低,震荡整理,184.99,194.24,175.74,1.0,20,10,15,9,中期多头,41.1,死叉,0.41
69,002025,航天电器,其他,53,中性,观望为主，等待方向,低,双底形态,237.78,249.67,225.9,1.0,15,22,6,10,中期多头,30.1,死叉,0.4
70,002266,浙富控股,其他,49,中性,观望为主，等待方向,低,双顶跌破,121.53,127.6,115.45,1.0,15,5,8,21,中期多头,28.2,死叉,1.23
71,000002,万科A,其他,49,中性,观望为主，等待方向,低,双底形态,4.66,4.89,4.43,1.0,5,22,12,10,空头/震荡,48.2,死叉,0.61
72,000538,云南白药,其他,49,中性,观望为主，等待方向,低,双底形态,155.25,163.02,147.49,1.0,5,22,12,10,空头/震荡,46.4,死叉,0.24
73,000001,平安银行,金融,48,中性,观望为主，等待方向,低,下降趋势,10.87,11.41,10.33,1.0,5,5,22,16,空头/震荡,52.3,金叉,1.11
74,000009,中国宝安,其他,48,中性,观望为主，等待方向,低,双底形态,8.95,9.4,8.5,1.0,5,22,6,15,空头/震荡,36.3,死叉,1.32
75,000933,神火股份,其他,48,中性,观望为主，等待方向,低,震荡整理,223.03,234.19,211.88,1.0,15,10,15,8,中期多头,40.2,死叉,0.4
76,000661,长春高新,其他,47,中性,观望为主，等待方向,低,震荡整理,110.21,115.72,104.7,1.0,15,10,9,13,中期多头,33.8,死叉,1.05
77,000063,中兴通讯,其他,46,中性,观望为主，等待方向,低,双底形态,148.78,156.21,141.34,1.0,5,22,6,13,空头/震荡,31.2,死叉,0.96
78,000032,深桑达A,其他,46,中性,观望为主，等待方向,低,震荡整理,18.43,19.35,17.51,1.0,15,10,6,15,中期多头,34.0,死叉,1.27
79,002244,滨江集团,其他,45,中性,观望为主，等待方向,低,双顶跌破,11.09,11.64,10.54,1.0,15,5,15,10,中期多头,44.4,死叉,0.62
80,000938,紫光股份,其他,44,中性,观望为主，等待方向,低,震荡整理,38.26,40.18,36.35,1.0,10,10,17,7,短期多头,81.1,金叉,0.35
81,002007,华兰生物,医药生物,44,中性,观望为主，等待方向,低,震荡整理,237.8,249.69,225.91,1.0,15,10,11,8,中期多头,21.5,死叉,0.68
82,000830,鲁西化工,化工,44,中性,观望为主，等待方向,低,震荡整理,128.55,134.98,122.12,1.0,15,10,6,13,中期多头,33.9,死叉,0.97
83,000333,美的集团,其他,44,中性,观望为主，等待方向,低,双底形态,63.7,66.89,60.52,1.0,5,22,6,11,空头/震荡,39.7,死叉,0.55
84,000423,东阿阿胶,其他,43,中性,观望为主，等待方向,低,下降趋势,141.1,148.15,134.04,1.0,5,5,20,13,空头/震荡,43.8,金叉,1.11
85,000625,长安汽车,汽车,42,中性,观望为主，等待方向,低,下降趋势,10.98,11.53,10.43,1.0,5,5,12,20,空头/震荡,45.7,死叉,1.72
86,000977,浪潮信息,其他,42,中性,观望为主，等待方向,低,震荡整理,103.05,108.2,97.9,1.0,15,10,6,11,中期多头,31.3,死叉,0.74
87,000157,中联重科,其他,41,中性,观望为主，等待方向,低,震荡整理,122.07,128.17,115.96,1.0,15,10,8,8,中期多头,29.6,死叉,0.49
88,000415,渤海租赁,其他,41,中性,观望为主，等待方向,低,双顶跌破,225.12,236.37,213.86,1.0,15,5,6,15,中期多头,33.1,死叉,1.39
89,002138,顺络电子,科技,40,中性,观望为主，等待方向,低,下降趋势,40.76,42.8,38.72,1.0,5,5,14,16,空头/震荡,37.4,金叉,1.3
90,000738,航发控制,其他,39,偏卖出,考虑减仓,中等,下降趋势,142.44,128.31,151.86,1.5,5,5,20,9,空头/震荡,50.0,金叉,0.39
91,002155,湖南黄金,其他,36,偏卖出,考虑减仓,中等,双顶形态,199.93,180.84,212.66,1.5,5,8,12,11,空头/震荡,40.7,死叉,0.44
92,000887,中鼎股份,其他,36,偏卖出,考虑减仓,中等,下降趋势,158.31,143.49,168.19,1.5,5,5,6,20,空头/震荡,35.5,死叉,1.78
93,002185,华天科技,科技,35,偏卖出,考虑减仓,中等,下降趋势,132.91,117.7,143.04,1.5,5,5,12,13,空头/震荡,47.8,死叉,0.9
94,001914,招商积余,其他,32,偏卖出,考虑减仓,中等,下降趋势,216.3,195.3,230.3,1.5,5,5,14,8,空头/震荡,34.5,金叉,0.52
95,000651,格力电器,其他,31,偏卖出,考虑减仓,中等,下降趋势,41.05,36.61,44.01,1.5,5,5,12,9,空头/震荡,40.9,死叉,0.54
96,000963,华东医药,医药生物,30,偏卖出,考虑减仓,中等,下降趋势,34.06,32.15,35.33,1.5,5,5,8,12,空头/震荡,27.0,死叉,0.89
97,002064,华峰化学,其他,29,偏卖出,考虑减仓,中等,双顶跌破,57.51,51.4,61.59,1.5,5,5,6,13,空头/震荡,36.4,死叉,1.17
98,000786,北新建材,建筑,29,偏卖出,考虑减仓,中等,双顶跌破,57.51,51.4,61.59,1.5,5,5,6,13,空头/震荡,36.4,死叉,1.17
99,002085,万丰奥威,其他,28,偏卖出,考虑减仓,中等,双顶跌破,74.65,67.12,79.66,1.5,5,5,6,12,空头/震荡,32.1,死叉,0.89
100,000617,中油资本,其他,28,偏卖出,考虑减仓,中等,下降趋势,86.06,78.49,91.11,1.5,5,5,6,12,空头/震荡,34.5,死叉,0.86
