rank,symbol,name,industry,current_price,prev_close,price_change_pct,ma5,ma10,ma20,ma60,ma120,ma_trend,rsi,macd,macd_signal,macd_status,bb_position,atr,volume,volume_ma20,volume_ratio,pattern_name,pattern_strength,trend_score,pattern_score,momentum_score,volume_score,total_score,signal,action,confidence,target_price,stop_loss,risk_reward,analysis_date
11,002241,歌尔股份,其他,359.52,362.62,-0.85,358.24,351.54,331.4,281.21,242.22,多头排列,84.4,21.779,20.737,金叉,0.81,9.412,5551383,4555034,1.22,双底突破,90,25,25,17,14,81,买入,适量买入，关注突破，突破确认后加仓,中高,387.76,340.7,1.5,2026-03-03
12,002152,广电运通,其他,117.31,115.97,1.15,119.02,119.48,117.98,106.12,100.76,中期多头,44.4,3.248,4.069,死叉,0.45,3.373,8815735,5296097,1.66,双底形态,80,20,22,15,23,80,买入,适量买入，关注突破，形态完成度较高,中高,127.43,110.56,1.5,2026-03-03
13,002008,大族激光,其他,66.3,66.59,-0.45,64.21,62.94,62.88,61.87,64.17,多头排列,69.3,0.604,0.164,金叉,1.02,1.609,1698362,5461249,0.31,双底突破,90,25,25,21,9,80,买入,适量买入，关注突破，突破确认后加仓,中高,71.12,63.08,1.5,2026-03-03
14,002176,江特电机,其他,89.34,88.48,0.97,85.13,83.73,81.07,74.27,71.66,多头排列,74.8,3.128,2.514,金叉,1.06,2.99,3215630,6334649,0.51,双底突破,90,25,25,21,7,78,买入,适量买入，关注突破，突破确认后加仓,中高,98.31,83.36,1.5,2026-03-03
15,000629,钒钛股份,其他,93.91,94.91,-1.06,93.02,89.66,86.08,85.64,93.05,多头排列,81.8,2.514,1.231,金叉,0.91,2.736,5089484,6165275,0.83,双底突破,90,25,25,17,11,78,买入,适量买入，关注突破，突破确认后加仓,中高,102.12,88.44,1.5,2026-03-03
16,002028,思源电气,其他,93.06,92.98,0.09,91.58,89.05,87.36,84.86,88.86,多头排列,73.4,1.981,1.255,金叉,0.94,2.889,2909058,5961501,0.49,双底突破,90,25,25,21,7,78,买入,适量买入，关注突破，突破确认后加仓,中高,101.72,87.28,1.5,2026-03-03
17,000425,徐工机械,其他,40.93,38.91,5.21,38.93,37.61,35.8,35.52,37.25,多头排列,90.7,1.409,0.822,金叉,1.07,0.971,5712619,6419812,0.89,头肩底,85,25,23,17,11,76,买入,适量买入，关注突破,中高,43.85,38.99,1.5,2026-03-03
18,000683,博源化工,化工,73.72,73.93,-0.29,75.0,75.17,71.9,70.74,77.03,中期多头,64.5,1.575,1.393,金叉,0.62,2.863,7153769,4908324,1.46,上升趋势,55,20,15,25,16,76,买入,适量买入，关注突破,中高,82.31,67.99,1.5,2026-03-03
19,000988,华工科技,科技,62.81,62.11,1.12,61.62,59.37,58.76,63.78,61.67,短期多头,70.4,0.124,-0.729,金叉,0.99,2.154,7388545,5733695,1.29,双底突破,90,10,25,21,19,75,买入,适量买入，关注突破，突破确认后加仓,中高,69.27,58.5,1.5,2026-03-03
20,002091,江苏国泰,其他,169.04,167.68,0.81,164.37,160.33,154.66,143.69,136.65,多头排列,82.2,7.041,5.848,金叉,0.96,4.733,1104403,5870441,0.19,双底突破,90,25,25,17,7,74,买入,适量买入，关注突破，突破确认后加仓,中高,183.24,159.57,1.5,2026-03-03
